---- Reporte de Empleados ----
Nombre: Nombre: Test0 Apellido Ta0 || NSS: 000 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.000,00 €
Nombre: Nombre: Test65 Apellido Ta65 || NSS: 065 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.065,00 €
Nombre: Nombre: Test66 Apellido Ta66 || NSS: 066 || Tipo de Empleado: EmpleadoPorHoras || Salario: 84.214,00 €
Nombre: Nombre: Test67 Apellido Ta67 || NSS: 067 || Tipo de Empleado: EmpleadoPorComision || Salario: 53,35 €
Nombre: Nombre: Test68 Apellido Ta68 || NSS: 068 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.233,44 €
Nombre: Nombre: Test70 Apellido Ta70 || NSS: 070 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.070,00 €
Nombre: Nombre: Test71 Apellido Ta71 || NSS: 071 || Tipo de Empleado: EmpleadoPorHoras || Salario: 92.641,50 €
Nombre: Nombre: Test72 Apellido Ta72 || NSS: 072 || Tipo de Empleado: EmpleadoPorComision || Salario: 53,60 €
Nombre: Nombre: Test73 Apellido Ta73 || NSS: 073 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.238,84 €
Nombre: Nombre: Test75 Apellido Ta75 || NSS: 075 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.075,00 €
Nombre: Nombre: Test76 Apellido Ta76 || NSS: 076 || Tipo de Empleado: EmpleadoPorHoras || Salario: 101.144,00 €
Nombre: Nombre: Test77 Apellido Ta77 || NSS: 077 || Tipo de Empleado: EmpleadoPorComision || Salario: 53,85 €
Nombre: Nombre: Test78 Apellido Ta78 || NSS: 078 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.244,24 €
Nombre: Nombre: Test80 Apellido Ta80 || NSS: 080 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.080,00 €
Nombre: Nombre: Test81 Apellido Ta81 || NSS: 081 || Tipo de Empleado: EmpleadoPorHoras || Salario: 109.721,50 €
Nombre: Nombre: Test82 Apellido Ta82 || NSS: 082 || Tipo de Empleado: EmpleadoPorComision || Salario: 54,10 €
Nombre: Nombre: Test83 Apellido Ta83 || NSS: 083 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.249,64 €
Nombre: Nombre: Test85 Apellido Ta85 || NSS: 085 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.085,00 €
Nombre: Nombre: Test86 Apellido Ta86 || NSS: 086 || Tipo de Empleado: EmpleadoPorHoras || Salario: 118.374,00 €
Nombre: Nombre: Test87 Apellido Ta87 || NSS: 087 || Tipo de Empleado: EmpleadoPorComision || Salario: 54,35 €
Nombre: Nombre: Test88 Apellido Ta88 || NSS: 088 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.255,04 €
Nombre: Nombre: Test90 Apellido Ta90 || NSS: 090 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.090,00 €
Nombre: Nombre: Test91 Apellido Ta91 || NSS: 091 || Tipo de Empleado: EmpleadoPorHoras || Salario: 127.101,50 €
Nombre: Nombre: Test92 Apellido Ta92 || NSS: 092 || Tipo de Empleado: EmpleadoPorComision || Salario: 54,60 €
Nombre: Nombre: Test93 Apellido Ta93 || NSS: 093 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.260,44 €
Nombre: Nombre: Test95 Apellido Ta95 || NSS: 095 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.095,00 €
Nombre: Nombre: Test96 Apellido Ta96 || NSS: 096 || Tipo de Empleado: EmpleadoPorHoras || Salario: 135.904,00 €
Nombre: Nombre: Test97 Apellido Ta97 || NSS: 097 || Tipo de Empleado: EmpleadoPorComision || Salario: 54,85 €
Nombre: Nombre: Test98 Apellido Ta98 || NSS: 098 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.265,84 €
Nombre: Nombre: Test100 Apellido Ta100 || NSS: 100 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.100,00 €
Nombre: Nombre: Test101 Apellido Ta101 || NSS: 101 || Tipo de Empleado: EmpleadoPorHoras || Salario: 144.781,50 €
Nombre: Nombre: Test102 Apellido Ta102 || NSS: 102 || Tipo de Empleado: EmpleadoPorComision || Salario: 55,10 €
Nombre: Nombre: Test103 Apellido Ta103 || NSS: 103 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.271,24 €
Nombre: Nombre: Test105 Apellido Ta105 || NSS: 105 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.105,00 €
Nombre: Nombre: Test106 Apellido Ta106 || NSS: 106 || Tipo de Empleado: EmpleadoPorHoras || Salario: 153.734,00 €
Nombre: Nombre: Test107 Apellido Ta107 || NSS: 107 || Tipo de Empleado: EmpleadoPorComision || Salario: 55,35 €
Nombre: Nombre: Test108 Apellido Ta108 || NSS: 108 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.276,64 €
Nombre: Nombre: Test110 Apellido Ta110 || NSS: 110 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.110,00 €
Nombre: Nombre: Test111 Apellido Ta111 || NSS: 111 || Tipo de Empleado: EmpleadoPorHoras || Salario: 162.761,50 €
Nombre: Nombre: Test112 Apellido Ta112 || NSS: 112 || Tipo de Empleado: EmpleadoPorComision || Salario: 55,60 €
Nombre: Nombre: Test113 Apellido Ta113 || NSS: 113 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.282,04 €
Nombre: Nombre: Test115 Apellido Ta115 || NSS: 115 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.115,00 €
Nombre: Nombre: Test116 Apellido Ta116 || NSS: 116 || Tipo de Empleado: EmpleadoPorHoras || Salario: 171.864,00 €
Nombre: Nombre: Test117 Apellido Ta117 || NSS: 117 || Tipo de Empleado: EmpleadoPorComision || Salario: 55,85 €
Nombre: Nombre: Test118 Apellido Ta118 || NSS: 118 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.287,44 €
Nombre: Nombre: Test120 Apellido Ta120 || NSS: 120 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.120,00 €
Nombre: Nombre: Test121 Apellido Ta121 || NSS: 121 || Tipo de Empleado: EmpleadoPorHoras || Salario: 181.041,50 €
Nombre: Nombre: Test122 Apellido Ta122 || NSS: 122 || Tipo de Empleado: EmpleadoPorComision || Salario: 56,10 €
Nombre: Nombre: Test123 Apellido Ta123 || NSS: 123 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.292,84 €
Nombre: Nombre: Test125 Apellido Ta125 || NSS: 125 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.125,00 €
Nombre: Nombre: Test126 Apellido Ta126 || NSS: 126 || Tipo de Empleado: EmpleadoPorHoras || Salario: 190.294,00 €
Nombre: Nombre: Test127 Apellido Ta127 || NSS: 127 || Tipo de Empleado: EmpleadoPorComision || Salario: 56,35 €
Nombre: Nombre: Test128 Apellido Ta128 || NSS: 128 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.298,24 €
Nombre: Nombre: Test130 Apellido Ta130 || NSS: 130 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.130,00 €
Nombre: Nombre: Test131 Apellido Ta131 || NSS: 131 || Tipo de Empleado: EmpleadoPorHoras || Salario: 199.621,50 €
Nombre: Nombre: Test132 Apellido Ta132 || NSS: 132 || Tipo de Empleado: EmpleadoPorComision || Salario: 56,60 €
Nombre: Nombre: Test133 Apellido Ta133 || NSS: 133 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.303,64 €
Nombre: Nombre: Test135 Apellido Ta135 || NSS: 135 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.135,00 €
Nombre: Nombre: Test136 Apellido Ta136 || NSS: 136 || Tipo de Empleado: EmpleadoPorHoras || Salario: 209.024,00 €
Nombre: Nombre: Test137 Apellido Ta137 || NSS: 137 || Tipo de Empleado: EmpleadoPorComision || Salario: 56,85 €
Nombre: Nombre: Test138 Apellido Ta138 || NSS: 138 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.309,04 €
Nombre: Nombre: Test140 Apellido Ta140 || NSS: 140 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.140,00 €
Nombre: Nombre: Test141 Apellido Ta141 || NSS: 141 || Tipo de Empleado: EmpleadoPorHoras || Salario: 218.501,50 €
Nombre: Nombre: Test142 Apellido Ta142 || NSS: 142 || Tipo de Empleado: EmpleadoPorComision || Salario: 57,10 €
Nombre: Nombre: Test143 Apellido Ta143 || NSS: 143 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.314,44 €
Nombre: Nombre: Test145 Apellido Ta145 || NSS: 145 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.145,00 €
Nombre: Nombre: Test146 Apellido Ta146 || NSS: 146 || Tipo de Empleado: EmpleadoPorHoras || Salario: 228.054,00 €
Nombre: Nombre: Test147 Apellido Ta147 || NSS: 147 || Tipo de Empleado: EmpleadoPorComision || Salario: 57,35 €
Nombre: Nombre: Test148 Apellido Ta148 || NSS: 148 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.319,84 €
Nombre: Nombre: Test150 Apellido Ta150 || NSS: 150 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.150,00 €
Nombre: Nombre: Test151 Apellido Ta151 || NSS: 151 || Tipo de Empleado: EmpleadoPorHoras || Salario: 237.681,50 €
Nombre: Nombre: Test152 Apellido Ta152 || NSS: 152 || Tipo de Empleado: EmpleadoPorComision || Salario: 57,60 €
Nombre: Nombre: Test153 Apellido Ta153 || NSS: 153 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.325,24 €
Nombre: Nombre: Test155 Apellido Ta155 || NSS: 155 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.155,00 €
Nombre: Nombre: Test156 Apellido Ta156 || NSS: 156 || Tipo de Empleado: EmpleadoPorHoras || Salario: 247.384,00 €
Nombre: Nombre: Test157 Apellido Ta157 || NSS: 157 || Tipo de Empleado: EmpleadoPorComision || Salario: 57,85 €
Nombre: Nombre: Test158 Apellido Ta158 || NSS: 158 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.330,64 €
Nombre: Nombre: Test160 Apellido Ta160 || NSS: 160 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.160,00 €
Nombre: Nombre: Test161 Apellido Ta161 || NSS: 161 || Tipo de Empleado: EmpleadoPorHoras || Salario: 257.161,50 €
Nombre: Nombre: Test162 Apellido Ta162 || NSS: 162 || Tipo de Empleado: EmpleadoPorComision || Salario: 58,10 €
Nombre: Nombre: Test163 Apellido Ta163 || NSS: 163 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.336,04 €
Nombre: Nombre: Test165 Apellido Ta165 || NSS: 165 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.165,00 €
Nombre: Nombre: Test166 Apellido Ta166 || NSS: 166 || Tipo de Empleado: EmpleadoPorHoras || Salario: 267.014,00 €
Nombre: Nombre: Test167 Apellido Ta167 || NSS: 167 || Tipo de Empleado: EmpleadoPorComision || Salario: 58,35 €
Nombre: Nombre: Test168 Apellido Ta168 || NSS: 168 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.341,44 €
Nombre: Nombre: Test170 Apellido Ta170 || NSS: 170 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.170,00 €
Nombre: Nombre: Test171 Apellido Ta171 || NSS: 171 || Tipo de Empleado: EmpleadoPorHoras || Salario: 276.941,50 €
Nombre: Nombre: Test172 Apellido Ta172 || NSS: 172 || Tipo de Empleado: EmpleadoPorComision || Salario: 58,60 €
Nombre: Nombre: Test173 Apellido Ta173 || NSS: 173 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.346,84 €
Nombre: Nombre: Test175 Apellido Ta175 || NSS: 175 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.175,00 €
Nombre: Nombre: Test176 Apellido Ta176 || NSS: 176 || Tipo de Empleado: EmpleadoPorHoras || Salario: 286.944,00 €
Nombre: Nombre: Test177 Apellido Ta177 || NSS: 177 || Tipo de Empleado: EmpleadoPorComision || Salario: 58,85 €
Nombre: Nombre: Test178 Apellido Ta178 || NSS: 178 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.352,24 €
Nombre: Nombre: Test180 Apellido Ta180 || NSS: 180 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.180,00 €
Nombre: Nombre: Test181 Apellido Ta181 || NSS: 181 || Tipo de Empleado: EmpleadoPorHoras || Salario: 297.021,50 €
Nombre: Nombre: Test182 Apellido Ta182 || NSS: 182 || Tipo de Empleado: EmpleadoPorComision || Salario: 59,10 €
Nombre: Nombre: Test183 Apellido Ta183 || NSS: 183 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.357,64 €
Nombre: Nombre: Test185 Apellido Ta185 || NSS: 185 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.185,00 €
Nombre: Nombre: Test186 Apellido Ta186 || NSS: 186 || Tipo de Empleado: EmpleadoPorHoras || Salario: 307.174,00 €
Nombre: Nombre: Test187 Apellido Ta187 || NSS: 187 || Tipo de Empleado: EmpleadoPorComision || Salario: 59,35 €
Nombre: Nombre: Test188 Apellido Ta188 || NSS: 188 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.363,04 €
Nombre: Nombre: Test190 Apellido Ta190 || NSS: 190 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.190,00 €
Nombre: Nombre: Test191 Apellido Ta191 || NSS: 191 || Tipo de Empleado: EmpleadoPorHoras || Salario: 317.401,50 €
Nombre: Nombre: Test192 Apellido Ta192 || NSS: 192 || Tipo de Empleado: EmpleadoPorComision || Salario: 59,60 €
Nombre: Nombre: Test193 Apellido Ta193 || NSS: 193 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.368,44 €
Nombre: Nombre: Test195 Apellido Ta195 || NSS: 195 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.195,00 €
Nombre: Nombre: Test196 Apellido Ta196 || NSS: 196 || Tipo de Empleado: EmpleadoPorHoras || Salario: 327.704,00 €
Nombre: Nombre: Test197 Apellido Ta197 || NSS: 197 || Tipo de Empleado: EmpleadoPorComision || Salario: 59,85 €
Nombre: Nombre: Test198 Apellido Ta198 || NSS: 198 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.373,84 €
Nombre: Nombre: Test200 Apellido Ta200 || NSS: 200 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.200,00 €
Nombre: Nombre: Test201 Apellido Ta201 || NSS: 201 || Tipo de Empleado: EmpleadoPorHoras || Salario: 338.081,50 €
Nombre: Nombre: Test202 Apellido Ta202 || NSS: 202 || Tipo de Empleado: EmpleadoPorComision || Salario: 60,10 €
Nombre: Nombre: Test203 Apellido Ta203 || NSS: 203 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.379,24 €
Nombre: Nombre: Test205 Apellido Ta205 || NSS: 205 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.205,00 €
Nombre: Nombre: Test206 Apellido Ta206 || NSS: 206 || Tipo de Empleado: EmpleadoPorHoras || Salario: 348.534,00 €
Nombre: Nombre: Test207 Apellido Ta207 || NSS: 207 || Tipo de Empleado: EmpleadoPorComision || Salario: 60,35 €
Nombre: Nombre: Test208 Apellido Ta208 || NSS: 208 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.384,64 €
Nombre: Nombre: Test210 Apellido Ta210 || NSS: 210 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.210,00 €
Nombre: Nombre: Test211 Apellido Ta211 || NSS: 211 || Tipo de Empleado: EmpleadoPorHoras || Salario: 359.061,50 €
Nombre: Nombre: Test212 Apellido Ta212 || NSS: 212 || Tipo de Empleado: EmpleadoPorComision || Salario: 60,60 €
Nombre: Nombre: Test213 Apellido Ta213 || NSS: 213 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.390,04 €
Nombre: Nombre: Test215 Apellido Ta215 || NSS: 215 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.215,00 €
Nombre: Nombre: Test216 Apellido Ta216 || NSS: 216 || Tipo de Empleado: EmpleadoPorHoras || Salario: 369.664,00 €
Nombre: Nombre: Test217 Apellido Ta217 || NSS: 217 || Tipo de Empleado: EmpleadoPorComision || Salario: 60,85 €
Nombre: Nombre: Test218 Apellido Ta218 || NSS: 218 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.395,44 €
Nombre: Nombre: Test220 Apellido Ta220 || NSS: 220 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.220,00 €
Nombre: Nombre: Test221 Apellido Ta221 || NSS: 221 || Tipo de Empleado: EmpleadoPorHoras || Salario: 380.341,50 €
Nombre: Nombre: Test222 Apellido Ta222 || NSS: 222 || Tipo de Empleado: EmpleadoPorComision || Salario: 61,10 €
Nombre: Nombre: Test223 Apellido Ta223 || NSS: 223 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.400,84 €
Nombre: Nombre: Test225 Apellido Ta225 || NSS: 225 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.225,00 €
Nombre: Nombre: Test226 Apellido Ta226 || NSS: 226 || Tipo de Empleado: EmpleadoPorHoras || Salario: 391.094,00 €
Nombre: Nombre: Test227 Apellido Ta227 || NSS: 227 || Tipo de Empleado: EmpleadoPorComision || Salario: 61,35 €
Nombre: Nombre: Test228 Apellido Ta228 || NSS: 228 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.406,24 €
Nombre: Nombre: Test230 Apellido Ta230 || NSS: 230 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.230,00 €
Nombre: Nombre: Test231 Apellido Ta231 || NSS: 231 || Tipo de Empleado: EmpleadoPorHoras || Salario: 401.921,50 €
Nombre: Nombre: Test232 Apellido Ta232 || NSS: 232 || Tipo de Empleado: EmpleadoPorComision || Salario: 61,60 €
Nombre: Nombre: Test233 Apellido Ta233 || NSS: 233 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.411,64 €
Nombre: Nombre: Test235 Apellido Ta235 || NSS: 235 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.235,00 €
Nombre: Nombre: Test236 Apellido Ta236 || NSS: 236 || Tipo de Empleado: EmpleadoPorHoras || Salario: 412.824,00 €
Nombre: Nombre: Test237 Apellido Ta237 || NSS: 237 || Tipo de Empleado: EmpleadoPorComision || Salario: 61,85 €
Nombre: Nombre: Test238 Apellido Ta238 || NSS: 238 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.417,04 €
Nombre: Nombre: Test240 Apellido Ta240 || NSS: 240 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.240,00 €
Nombre: Nombre: Test241 Apellido Ta241 || NSS: 241 || Tipo de Empleado: EmpleadoPorHoras || Salario: 423.801,50 €
Nombre: Nombre: Test242 Apellido Ta242 || NSS: 242 || Tipo de Empleado: EmpleadoPorComision || Salario: 62,10 €
Nombre: Nombre: Test243 Apellido Ta243 || NSS: 243 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.422,44 €
Nombre: Nombre: Test245 Apellido Ta245 || NSS: 245 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.245,00 €
Nombre: Nombre: Test246 Apellido Ta246 || NSS: 246 || Tipo de Empleado: EmpleadoPorHoras || Salario: 434.854,00 €
Nombre: Nombre: Test247 Apellido Ta247 || NSS: 247 || Tipo de Empleado: EmpleadoPorComision || Salario: 62,35 €
Nombre: Nombre: Test248 Apellido Ta248 || NSS: 248 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.427,84 €
Nombre: Nombre: Test250 Apellido Ta250 || NSS: 250 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.250,00 €
Nombre: Nombre: Test251 Apellido Ta251 || NSS: 251 || Tipo de Empleado: EmpleadoPorHoras || Salario: 445.981,50 €
Nombre: Nombre: Test252 Apellido Ta252 || NSS: 252 || Tipo de Empleado: EmpleadoPorComision || Salario: 62,60 €
Nombre: Nombre: Test253 Apellido Ta253 || NSS: 253 || Tipo de Empleado: EmpleadoAsalariadoPorComision || Salario: 1.433,24 €
Nombre: Nombre: Test255 Apellido Ta255 || NSS: 255 || Tipo de Empleado: EmpleadoAsalariado || Salario: 1.255,00 €
Nombre: Nombre: Test256 Apellido Ta256 || NSS: 256 || Tipo de Empleado: EmpleadoPorHoras || Salario: 457.184,00 €
